feature,modality,feature_group,feature_type,aggregation,analysis_role,class_id,class_name,n_subjects_total,n_nonmissing,missing_subject_fraction,median,q25,q75,iqr,cn_reference_median,median_diff_vs_cn,robust_smd_vs_cn,cliffs_delta_vs_cn,abs_cliffs_delta_vs_cn,max_abs_cliffs_delta_non_cn
sleep__derived_timestamp_sleep_duration_hours__subject_missing_fraction,sleep,timestamp_derived,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_awake__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,3000,2085,3780,1695,3000,0,0,0,0,0.4823529412
sleep__sleep_awake__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,3525,2340,4068.75,1728.75,3000,525,0.4136929346,0.1434292866,0.1434292866,0.4823529412
sleep__sleep_awake__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,4125,3120,6157.5,3037.5,3000,1125,0.6170168039,0.4823529412,0.4823529412,0.4823529412
sleep__sleep_awake__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,4530,3450,5790,2340,4530,0,0,0,0,0.2849673203
sleep__sleep_awake__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,4905,4230,6345,2115,4530,375,0.2268152856,0.1762202753,0.1762202753,0.2849673203
sleep__sleep_awake__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,6510,3690,8070,4380,4530,1980,0.760668797,0.2849673203,0.2849673203,0.2849673203
sleep__sleep_awake__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_awake__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_awake__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_breath_average__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,0.625,0.5625,0.875,0.3125,0.625,0,0,0,0,0.03267973856
sleep__sleep_breath_average__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,0.625,0.5,0.84375,0.34375,0.625,0,0,-0.02953692115,0.02953692115,0.03267973856
sleep__sleep_breath_average__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,0.75,0.5,0.9375,0.4375,0.625,0.125,0.4435484677,0.03267973856,0.03267973856,0.03267973856
sleep__sleep_breath_average__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,17,15.9375,17.5,1.5625,17,0,0,0,0,0.0395494368
sleep__sleep_breath_average__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,16.875,16.25,17.5,1.25,17,-0.125,-0.1191777029,0.0395494368,0.0395494368,0.0395494368
sleep__sleep_breath_average__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,17.125,15.875,17.25,1.375,17,0.125,0.1145753441,-0.01176470588,0.01176470588,0.0395494368
sleep__sleep_breath_average__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_breath_average__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_breath_average__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_deep__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,2077.5,1875,2460,585,2077.5,0,0,0,0,0.1712418301
sleep__sleep_deep__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,2175,1743.75,2497.5,753.75,2077.5,97.5,0.1949503461,0.006257822278,0.006257822278,0.1712418301
sleep__sleep_deep__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,2460,1875,2595,720,2077.5,382.5,0.7865954106,0.1712418301,0.1712418301,0.1712418301
sleep__sleep_deep__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,5310,3960,6555,2595,5310,0,0,0,0,0.3647058824
sleep__sleep_deep__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,4380,3135,5895,2760,5310,-930,-0.468337957,-0.160951189,0.160951189,0.3647058824
sleep__sleep_deep__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,3390,2730,4650,1920,5310,-1920,-1.13471151,-0.3647058824,0.3647058824,0.3647058824
sleep__sleep_deep__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_deep__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_deep__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_duration__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,6540,5160,8640,3480,6540,0,0,0,0,0.3529411765
sleep__sleep_duration__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,7260,5797.5,9082.5,3285,6540,720,0.2870293413,0.110387985,0.110387985,0.3529411765
sleep__sleep_duration__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,7740,7260,11340,4080,6540,1200,0.4269115602,0.3529411765,0.3529411765,0.3529411765
sleep__sleep_duration__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,28350,25650,30690,5040,28350,0,0,0,0,0.4588235294
sleep__sleep_duration__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,28950,26700,30855,4155,28350,600,0.1752423797,0.08510638298,0.08510638298,0.4588235294
sleep__sleep_duration__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,36420,27060,36780,9720,28350,8070,1.406135313,0.4588235294,0.4588235294,0.4588235294
sleep__sleep_duration__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_duration__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_duration__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_efficiency__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,8,7,10,3,8,0,0,0,0,0.3568627451
sleep__sleep_efficiency__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,8.25,6.5,10,3.5,8,0.25,0.103463577,0.02177722153,0.02177722153,0.3568627451
sleep__sleep_efficiency__subject_day_iqr,sleep,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,10,8,12,4,8,2,0.7631096383,0.3568627451,0.3568627451,0.3568627451
sleep__sleep_efficiency__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,83,80,87,7,83,0,0,0,0,0.1516339869
sleep__sleep_efficiency__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,84,78,85.5,7.5,83,1,0.1859584404,-0.135669587,0.135669587,0.1516339869
sleep__sleep_efficiency__subject_median,sleep,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,80,74.5,90,15.5,83,-3,-0.3365204945,-0.1516339869,0.1516339869,0.1516339869
sleep__sleep_efficiency__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_efficiency__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_efficiency__subject_missing_fraction,sleep,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__iqr__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,2.125,2,3,1,2.125,0,0,0,0,0.2326797386
sleep__sleep_hr_5min__iqr__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,2.375,1.625,3.40625,1.78125,2.125,0.25,0.2334804319,-0.05006257822,0.05006257822,0.2326797386
sleep__sleep_hr_5min__iqr__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,3,2,5,3,2.125,0.875,0.5278797478,0.2326797386,0.2326797386,0.2326797386
sleep__sleep_hr_5min__iqr__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,4.25,4,5.375,1.375,4.25,0,0,0,0,0.214379085
sleep__sleep_hr_5min__iqr__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,4.25,4,6,2,4.25,0,0,-0.005256570713,0.005256570713,0.214379085
sleep__sleep_hr_5min__iqr__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,5,5,6.5,1.5,4.25,0.75,0.7031617866,0.214379085,0.214379085,0.214379085
sleep__sleep_hr_5min__iqr__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__iqr__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__iqr__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__mean__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,5.700875224,4.666263365,7.272814786,2.606551421,5.700875224,0,0,0,0,0.2156862745
sleep__sleep_hr_5min__mean__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,6.533602226,4.725692684,7.802013017,3.076320333,5.700875224,0.8327270026,0.3940015624,0.1339173967,0.1339173967,0.2156862745
sleep__sleep_hr_5min__mean__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,6.260754089,5.512699388,7.760113193,2.247413805,5.700875224,0.5598788651,0.3103515161,0.2156862745,0.2156862745,0.2156862745
sleep__sleep_hr_5min__mean__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,56,50.75139414,60.14334195,9.391947817,56,0,0,0,0,0.260130719
sleep__sleep_hr_5min__mean__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,52.73809524,48.69946286,58.45129611,9.751833253,56,-3.261904762,-0.4596304322,-0.1198998748,0.1198998748,0.260130719
sleep__sleep_hr_5min__mean__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,52.91525424,50.20560748,56.34962335,6.144015876,56,-3.084745763,-0.5243654996,-0.260130719,0.260130719,0.260130719
sleep__sleep_hr_5min__mean__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__mean__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__mean__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__median__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,3.25,3,4.125,1.125,3.25,0,0,0,0,0.03790849673
sleep__sleep_hr_5min__median__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,3.5,3,4,1,3.25,0.25,0.3168640305,0.02202753442,0.02202753442,0.03790849673
sleep__sleep_hr_5min__median__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,3.875,3,4,1,3.25,0.625,0.7921600761,0.03790849673,0.03790849673,0.03790849673
sleep__sleep_hr_5min__median__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,60,55,64,9,60,0,0,0,0,0.1869281046
sleep__sleep_hr_5min__median__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,59,53,64,11,60,-1,-0.134230517,-0.05506883605,0.05506883605,0.1869281046
sleep__sleep_hr_5min__median__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,56,53,62,9,60,-4,-0.5995555556,-0.1869281046,0.1869281046,0.1869281046
sleep__sleep_hr_5min__median__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__median__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__median__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_count__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,21.5,17,26,9,21.5,0,0,0,0,0.3594771242
sleep__sleep_hr_5min__nonzero_count__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,21,17.375,24.5,7.125,21.5,-0.5,-0.08309901743,-0.03754693367,0.03754693367,0.3594771242
sleep__sleep_hr_5min__nonzero_count__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,27.5,21,29.5,8.5,21.5,6,0.9246512398,0.3594771242,0.3594771242,0.3594771242
sleep__sleep_hr_5min__nonzero_count__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,85,79.5,92,12.5,85,0,0,0,0,0.4026143791
sleep__sleep_hr_5min__nonzero_count__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,85,80.5,93.25,12.75,85,0,0,0.02277847309,0.02277847309,0.4026143791
sleep__sleep_hr_5min__nonzero_count__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,101.5,83,109,26,85,16.5,1.091148826,0.4026143791,0.4026143791,0.4026143791
sleep__sleep_hr_5min__nonzero_count__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_count__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_count__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_iqr__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,2,1,2.125,1.125,2,0,0,0,0,0.460130719
sleep__sleep_hr_5min__nonzero_iqr__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,2,1,2,1,2,0,0,0.005506883605,0.005506883605,0.460130719
sleep__sleep_hr_5min__nonzero_iqr__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,2.25,2,3.75,1.75,2,0.25,0.2292540722,0.460130719,0.460130719,0.460130719
sleep__sleep_hr_5min__nonzero_iqr__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,4,3,5,2,4,0,0,0,0,0.2013071895
sleep__sleep_hr_5min__nonzero_iqr__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,4,3,4.3125,1.3125,4,0,0,-0.08836045056,0.08836045056,0.2013071895
sleep__sleep_hr_5min__nonzero_iqr__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,4,4,6,2,4,0,0,0.2013071895,0.2013071895,0.2013071895
sleep__sleep_hr_5min__nonzero_iqr__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_iqr__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_iqr__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_median__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,3,3,4,1,3,0,0,0,0,0.1176470588
sleep__sleep_hr_5min__nonzero_median__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,3.25,3,4.125,1.125,3,0.25,0.3168640305,0.07259073842,0.07259073842,0.1176470588
sleep__sleep_hr_5min__nonzero_median__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,3.5,3,4,1,3,0.5,0.6745,0.1176470588,0.1176470588,0.1176470588
sleep__sleep_hr_5min__nonzero_median__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,60,55,64.5,9.5,60,0,0,0,0,0.1503267974
sleep__sleep_hr_5min__nonzero_median__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,59,54,65,11,60,-1,-0.1312588481,-0.04130162703,0.04130162703,0.1503267974
sleep__sleep_hr_5min__nonzero_median__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,57,54,63,9,60,-3,-0.4373538079,-0.1503267974,0.1503267974,0.1503267974
sleep__sleep_hr_5min__nonzero_median__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_median__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_median__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_q10__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,3,2.175,3.7,1.525,3,0,0,0,0,0.1346405229
sleep__sleep_hr_5min__nonzero_q10__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,3,2.5,3.7,1.2,3,0,0,0.1101376721,0.1101376721,0.1346405229
sleep__sleep_hr_5min__nonzero_q10__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,3,3,3.925,0.925,3,0,0,0.1346405229,0.1346405229,0.1346405229
sleep__sleep_hr_5min__nonzero_q10__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,57,52,61,9,57,0,0,0,0,0.2222222222
sleep__sleep_hr_5min__nonzero_q10__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,56,51.5,61.5,10,57,-1,-0.1418037318,-0.03729662078,0.03729662078,0.2222222222
sleep__sleep_hr_5min__nonzero_q10__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,53,50,59,9,57,-4,-0.5995555556,-0.2222222222,0.2222222222,0.2222222222
sleep__sleep_hr_5min__nonzero_q10__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_q10__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_q10__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_q90__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,4,3.1,5,1.9,4,0,0,0,0,0.08235294118
sleep__sleep_hr_5min__nonzero_q90__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,4,3.4125,5,1.5875,4,0,0,0.02002503129,0.02002503129,0.08235294118
sleep__sleep_hr_5min__nonzero_q90__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,4,3.8,4.8,1,4,0,0,0.08235294118,0.08235294118,0.08235294118
sleep__sleep_hr_5min__nonzero_q90__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,64.55,59.1,69.4,10.3,64.55,0,0,0,0,0.09411764706
sleep__sleep_hr_5min__nonzero_q90__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,64,58,68,10,64.55,-0.55,-0.07309054116,-0.04655819775,0.04655819775,0.09411764706
sleep__sleep_hr_5min__nonzero_q90__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,62,60,67,7,64.55,-2.55,-0.3906386676,-0.09411764706,0.09411764706,0.09411764706
sleep__sleep_hr_5min__nonzero_q90__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_q90__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_q90__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_ratio__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0.08316281552,0.05336904406,0.1099447478,0.05657570378,0.08316281552,0,0,0,0,0.3045751634
sleep__sleep_hr_5min__nonzero_ratio__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0.08367933568,0.05276266302,0.1122285838,0.05946592073,0.08316281552,0.0005165201532,0.01200551382,0.04580725907,0.04580725907,0.3045751634
sleep__sleep_hr_5min__nonzero_ratio__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0.1118904726,0.09039461851,0.1322506742,0.04185605573,0.08316281552,0.0287276571,0.7787613795,0.3045751634,0.3045751634,0.3045751634
sleep__sleep_hr_5min__nonzero_ratio__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,0.9234432234,0.8874782609,0.9520803443,0.06460208346,0.9234432234,0,0,0,0,0.1712418301
sleep__sleep_hr_5min__nonzero_ratio__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,0.9166666667,0.8771106976,0.9443464703,0.06723577268,0.9234432234,-0.006776556777,-0.1386513986,-0.1261576971,0.1261576971,0.1712418301
sleep__sleep_hr_5min__nonzero_ratio__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,0.9115347019,0.8549618321,0.925,0.07003816794,0.9234432234,-0.01190852159,-0.2384356497,-0.1712418301,0.1712418301,0.1712418301
sleep__sleep_hr_5min__nonzero_ratio__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_ratio__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__nonzero_ratio__subject_missing_fraction,sleep,sleep_hr_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
sleep__sleep_hr_5min__q10__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,11.75,3.25,55,51.75,11.75,0,0,0,0,0.1712418301
sleep__sleep_hr_5min__q10__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,48.925,4.4,55.45,51.05,11.75,37.175,0.9756403192,0.05306633292,0.05306633292,0.1712418301
sleep__sleep_hr_5min__q10__subject_day_iqr,sleep,sleep_hr_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,49,26.8,55,28.2,11.75,37.25,1.205818437,0.1712418301,0.1712418301,0.1712418301
sleep__sleep_hr_5min__q10__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,52.6,0,57,57,52.6,0,0,0,0,0.3607843137
sleep__sleep_hr_5min__q10__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,50,0,56.9,56.9,52.6,-2.6,-0.06158733359,-0.06257822278,0.06257822278,0.3607843137
sleep__sleep_hr_5min__q10__subject_median,sleep,sleep_hr_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,47,0,51,51,52.6,-5.6,-0.1396809054,-0.3607843137,0.3607843137,0.3607843137
