feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta
activity__event7__activity__circadian__m10__p10,activity:level,MCI_vs_CN,47,85,1.6146000004609427,1.6197999949455262,-0.04680851063829787,-0.017920625566819278,0.5234042553191489,0.0,0.04680851063829787
activity__event7__activity__circadian__m10__p10,activity:level,DEM_vs_CN,9,85,1.4684166711568833,1.6197999949455262,-0.38823529411764707,-0.4454921690930377,0.6941176470588235,0.0,0.38823529411764707
activity__event7__activity__circadian__m10__p10,activity:level,IMPAIRED_vs_CN,56,85,1.6009833351746199,1.6197999949455262,-0.10168067226890756,-0.06353351692858521,0.5508403361344538,0.0,0.10168067226890756
activity__event7__activity__circadian__m10__p90,activity:level,MCI_vs_CN,47,85,2.033833335783953,2.0006999979813895,-0.026783479349186484,0.07850106683297563,0.5133917396745933,0.0,0.026783479349186484
activity__event7__activity__circadian__m10__p90,activity:level,DEM_vs_CN,9,85,1.810433326597015,2.0006999979813895,-0.4562091503267974,-0.44366247937854175,0.7281045751633988,0.0,0.4562091503267974
activity__event7__activity__circadian__m10__p90,activity:level,IMPAIRED_vs_CN,56,85,1.9824374984226498,2.0006999979813895,-0.0957983193277311,-0.04234209732021824,0.5478991596638656,0.0,0.0957983193277311
activity__event7__activity__circadian__m10__iqr,activity:variability,MCI_vs_CN,47,85,0.1786666674415267,0.22600595270239188,-0.11289111389236546,-0.25995577866611747,0.5564455569461828,0.0,0.11289111389236546
activity__event7__activity__circadian__m10__iqr,activity:variability,DEM_vs_CN,9,85,0.14925000150998446,0.22600595270239188,-0.4117647058823529,-0.5432672587208338,0.7058823529411764,0.0,0.4117647058823529
activity__event7__activity__circadian__m10__iqr,activity:variability,IMPAIRED_vs_CN,56,85,0.17708333626389483,0.22600595270239188,-0.16092436974789917,-0.2711489459168198,0.5804621848739495,0.0,0.16092436974789917
activity__event7__activity__circadian__m10__mad,activity:variability,MCI_vs_CN,47,85,0.11050000290075923,0.11713333312711782,-0.06533166458072591,-0.06956171272451049,0.532665832290363,0.0,0.06533166458072591
activity__event7__activity__circadian__m10__mad,activity:variability,DEM_vs_CN,9,85,0.10275757496894322,0.11713333312711782,-0.3359477124183007,-0.19930382167854985,0.6679738562091504,0.0,0.3359477124183007
activity__event7__activity__circadian__m10__mad,activity:variability,IMPAIRED_vs_CN,56,85,0.10618939254827997,0.11713333312711782,-0.10882352941176471,-0.12684250560099716,0.5544117647058824,0.0,0.10882352941176471
activity__event7__activity__circadian__m10__theil_sen_rank_slope,activity:change,MCI_vs_CN,47,85,-0.031499983668328506,0.013833330273627986,-0.01476846057571965,-0.12312910857631952,0.5073842302878598,0.0,0.01476846057571965
activity__event7__activity__circadian__m10__theil_sen_rank_slope,activity:change,DEM_vs_CN,9,85,0.04172726555642736,0.013833330273627986,0.09542483660130718,0.09436977652482659,0.5477124183006536,0.0,0.09542483660130718
activity__event7__activity__circadian__m10__theil_sen_rank_slope,activity:change,IMPAIRED_vs_CN,56,85,0.005158331677317163,0.013833330273627986,0.0029411764705882353,-0.024441923869075025,0.5014705882352941,0.0,0.0029411764705882353
activity__event7__activity__circadian__m10__late_half_minus_early_half,activity:change,MCI_vs_CN,47,85,0.013366668641567436,0.006666676873962052,0.016270337922403004,0.02858810343713215,0.5081351689612015,0.0,0.016270337922403004
activity__event7__activity__circadian__m10__late_half_minus_early_half,activity:change,DEM_vs_CN,9,85,0.0548333311080933,0.006666676873962052,0.21568627450980393,0.2390412370779431,0.6078431372549019,0.0,0.21568627450980393
